"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","1636","169","0","12","11","16","22","19","20","20","82","52","307","141","115","52","458","185","85","51","536","113",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","2173","282","0","17","23","36","14","26","0","17","0","17","254","126","143","73","770","157","413","152","556","270",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","2228","235","0","17","12","20","88","49","51","57","73","87","593","235","630","116","309","86","202","72","270","101",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","1786","175","0","17","0","17","20","24","84","49","0","17","24","22","231","95","381","125","152","81","894","188",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","1827","175","0","12","0","12","157","80","11","13","62","47","167","68","367","168","246","69","178","88","639","127",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","2402","324","16","25","0","17","27","32","18","28","97","68","223","105","472","154","212","111","329","156","1008","309",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","2192","334","24","31","0","17","38","44","71","66","43","51","149","95","207","125","586","180","277","170","797","300",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","1719","332","0","17","0","17","0","17","0","17","47","59","42","49","38","44","153","100","357","211","1082","280",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","806","150","0","12","4","7","31","16","19","12","10","10","16","15","53","30","152","53","143","61","378","143",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","2468","256","0","17","0","17","53","44","170","127","73","51","166","128","264","145","683","289","263","160","796","261",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","2361","314","0","17","0","17","54","45","37","38","46","44","152","90","133","76","177","86","347","197","1415","324",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","2372","209","0","17","0","17","21","28","74","67","148","125","81","83","108","73","249","147","271","144","1420","240",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","2377","329","0","17","0","17","0","17","37","40","57","48","116","72","131","61","348","242","518","190","1170","261",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","1707","170","0","12","0","12","236","82","132","133","33","37","79","42","199","75","349","103","379","133","300","102",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","2348","201","0","12","0","12","0","12","63","86","168","111","534","153","412","131","443","183","241","105","487","162",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","2072","175","21","15","0","12","38","44","68","52","59","46","226","107","682","141","232","94","243","133","503","134",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","1152","111","0","12","122","22","130","72","30","39","37","49","247","105","184","78","15","17","63","48","324","87",
